,ds,forecast_CA,forecast_CT,forecast_Compact,forecast_MA,forecast_NY
4898,2024-09-28 23:00:00,0.0,2.0,3.0,6.0,2.0
4899,2024-09-29 00:00:00,0.0,2.0,3.0,6.0,2.0
4900,2024-09-29 01:00:00,0.0,2.0,3.0,6.0,2.0
4901,2024-09-29 02:00:00,0.0,1.0,3.0,6.0,2.0
4902,2024-09-29 03:00:00,0.0,2.0,2.0,5.0,2.0
4903,2024-09-29 04:00:00,0.0,1.0,2.0,5.0,2.0
4904,2024-09-29 05:00:00,0.0,1.0,2.0,5.0,2.0
4905,2024-09-29 06:00:00,0.0,1.0,2.0,5.0,2.0
4906,2024-09-29 07:00:00,0.0,2.0,3.0,7.0,2.0
4907,2024-09-29 08:00:00,0.0,3.0,3.0,9.0,3.0
4908,2024-09-29 09:00:00,0.0,5.0,4.0,12.0,4.0
4909,2024-09-29 10:00:00,0.0,5.0,5.0,14.0,5.0
4910,2024-09-29 11:00:00,1.0,5.0,5.0,14.0,5.0
4911,2024-09-29 12:00:00,1.0,4.0,5.0,13.0,4.0
4912,2024-09-29 13:00:00,1.0,3.0,5.0,11.0,3.0
4913,2024-09-29 14:00:00,1.0,2.0,4.0,9.0,3.0
4914,2024-09-29 15:00:00,0.0,3.0,3.0,8.0,3.0
4915,2024-09-29 16:00:00,0.0,3.0,3.0,7.0,3.0
4916,2024-09-29 17:00:00,0.0,3.0,3.0,8.0,3.0
4917,2024-09-29 18:00:00,0.0,3.0,3.0,8.0,3.0
4918,2024-09-29 19:00:00,0.0,2.0,3.0,7.0,2.0
4919,2024-09-29 20:00:00,0.0,2.0,3.0,6.0,2.0
4920,2024-09-29 21:00:00,0.0,1.0,2.0,5.0,1.0
4921,2024-09-29 22:00:00,0.0,1.0,2.0,4.0,2.0
4922,2024-09-29 23:00:00,0.0,1.0,2.0,4.0,2.0
4923,2024-09-30 00:00:00,0.0,1.0,2.0,4.0,1.0
4924,2024-09-30 01:00:00,0.0,1.0,2.0,4.0,1.0
4925,2024-09-30 02:00:00,0.0,1.0,2.0,4.0,1.0
4926,2024-09-30 03:00:00,0.0,1.0,2.0,4.0,1.0
4927,2024-09-30 04:00:00,0.0,2.0,2.0,3.0,1.0
4928,2024-09-30 05:00:00,0.0,2.0,2.0,3.0,2.0
4929,2024-09-30 06:00:00,0.0,2.0,2.0,4.0,2.0
4930,2024-09-30 07:00:00,0.0,2.0,2.0,6.0,2.0
4931,2024-09-30 08:00:00,0.0,4.0,3.0,8.0,3.0
4932,2024-09-30 09:00:00,0.0,5.0,4.0,11.0,4.0
4933,2024-09-30 10:00:00,0.0,6.0,4.0,13.0,5.0
4934,2024-09-30 11:00:00,0.0,6.0,5.0,14.0,5.0
4935,2024-09-30 12:00:00,1.0,5.0,5.0,13.0,4.0
4936,2024-09-30 13:00:00,1.0,4.0,4.0,10.0,3.0
4937,2024-09-30 14:00:00,1.0,3.0,4.0,8.0,3.0
4938,2024-09-30 15:00:00,0.0,4.0,3.0,7.0,3.0
4939,2024-09-30 16:00:00,0.0,4.0,3.0,7.0,4.0
4940,2024-09-30 17:00:00,0.0,4.0,3.0,8.0,4.0
4941,2024-09-30 18:00:00,0.0,4.0,3.0,8.0,3.0
4942,2024-09-30 19:00:00,0.0,3.0,3.0,7.0,3.0
4943,2024-09-30 20:00:00,0.0,2.0,3.0,6.0,2.0
4944,2024-09-30 21:00:00,0.0,2.0,2.0,5.0,2.0
4945,2024-09-30 22:00:00,0.0,2.0,2.0,4.0,2.0
4946,2024-09-30 23:00:00,0.0,2.0,2.0,3.0,2.0
4947,2024-10-01 00:00:00,0.0,2.0,2.0,3.0,2.0
4948,2024-10-01 01:00:00,0.0,2.0,2.0,3.0,2.0
4949,2024-10-01 02:00:00,0.0,2.0,2.0,3.0,2.0
4950,2024-10-01 03:00:00,0.0,2.0,2.0,3.0,2.0
4951,2024-10-01 04:00:00,0.0,2.0,2.0,3.0,2.0
4952,2024-10-01 05:00:00,0.0,2.0,2.0,3.0,2.0
4953,2024-10-01 06:00:00,0.0,2.0,2.0,3.0,2.0
4954,2024-10-01 07:00:00,0.0,2.0,2.0,4.0,2.0
4955,2024-10-01 08:00:00,0.0,4.0,3.0,7.0,3.0
4956,2024-10-01 09:00:00,0.0,5.0,3.0,10.0,4.0
4957,2024-10-01 10:00:00,0.0,6.0,4.0,12.0,5.0
4958,2024-10-01 11:00:00,0.0,6.0,5.0,12.0,5.0
4959,2024-10-01 12:00:00,1.0,5.0,5.0,11.0,4.0
4960,2024-10-01 13:00:00,1.0,3.0,4.0,9.0,3.0
4961,2024-10-01 14:00:00,1.0,3.0,4.0,7.0,3.0
4962,2024-10-01 15:00:00,0.0,3.0,3.0,6.0,3.0
4963,2024-10-01 16:00:00,0.0,3.0,3.0,6.0,3.0
4964,2024-10-01 17:00:00,0.0,4.0,3.0,6.0,3.0
4965,2024-10-01 18:00:00,0.0,3.0,3.0,6.0,3.0
4966,2024-10-01 19:00:00,0.0,2.0,3.0,5.0,2.0
4967,2024-10-01 20:00:00,0.0,2.0,3.0,4.0,2.0
4968,2024-10-01 21:00:00,0.0,1.0,2.0,3.0,2.0
4969,2024-10-01 22:00:00,0.0,1.0,2.0,2.0,2.0
4970,2024-10-01 23:00:00,0.0,1.0,2.0,2.0,2.0
4971,2024-10-02 00:00:00,0.0,1.0,2.0,2.0,1.0
4972,2024-10-02 01:00:00,0.0,1.0,2.0,2.0,1.0
4973,2024-10-02 02:00:00,0.0,1.0,2.0,2.0,1.0
4974,2024-10-02 03:00:00,0.0,1.0,2.0,2.0,1.0
4975,2024-10-02 04:00:00,0.0,1.0,2.0,2.0,1.0
4976,2024-10-02 05:00:00,0.0,1.0,2.0,2.0,1.0
4977,2024-10-02 06:00:00,0.0,2.0,2.0,3.0,2.0
4978,2024-10-02 07:00:00,0.0,2.0,2.0,4.0,2.0
4979,2024-10-02 08:00:00,0.0,4.0,3.0,7.0,3.0
4980,2024-10-02 09:00:00,0.0,5.0,4.0,10.0,4.0
4981,2024-10-02 10:00:00,0.0,6.0,4.0,12.0,5.0
4982,2024-10-02 11:00:00,0.0,6.0,5.0,13.0,5.0
4983,2024-10-02 12:00:00,1.0,5.0,5.0,12.0,4.0
4984,2024-10-02 13:00:00,1.0,4.0,4.0,10.0,3.0
4985,2024-10-02 14:00:00,1.0,3.0,4.0,8.0,3.0
4986,2024-10-02 15:00:00,0.0,3.0,3.0,7.0,3.0
4987,2024-10-02 16:00:00,0.0,4.0,3.0,7.0,4.0
4988,2024-10-02 17:00:00,0.0,4.0,3.0,7.0,4.0
4989,2024-10-02 18:00:00,0.0,4.0,3.0,7.0,3.0
4990,2024-10-02 19:00:00,0.0,3.0,3.0,6.0,3.0
4991,2024-10-02 20:00:00,0.0,2.0,3.0,5.0,2.0
4992,2024-10-02 21:00:00,0.0,2.0,2.0,4.0,2.0
4993,2024-10-02 22:00:00,0.0,2.0,2.0,3.0,2.0
4994,2024-10-02 23:00:00,0.0,2.0,2.0,3.0,2.0
4995,2024-10-03 00:00:00,0.0,2.0,2.0,3.0,2.0
4996,2024-10-03 01:00:00,0.0,2.0,2.0,3.0,2.0
4997,2024-10-03 02:00:00,0.0,2.0,2.0,3.0,2.0
4998,2024-10-03 03:00:00,0.0,2.0,2.0,3.0,2.0
4999,2024-10-03 04:00:00,0.0,2.0,2.0,3.0,2.0
5000,2024-10-03 05:00:00,0.0,2.0,2.0,2.0,2.0
5001,2024-10-03 06:00:00,0.0,2.0,2.0,3.0,2.0
5002,2024-10-03 07:00:00,0.0,2.0,2.0,4.0,2.0
5003,2024-10-03 08:00:00,0.0,4.0,3.0,7.0,3.0
5004,2024-10-03 09:00:00,0.0,5.0,4.0,10.0,4.0
5005,2024-10-03 10:00:00,0.0,6.0,4.0,12.0,5.0
5006,2024-10-03 11:00:00,0.0,6.0,5.0,12.0,5.0
5007,2024-10-03 12:00:00,1.0,5.0,5.0,11.0,4.0
5008,2024-10-03 13:00:00,1.0,3.0,4.0,9.0,3.0
5009,2024-10-03 14:00:00,1.0,3.0,4.0,7.0,3.0
5010,2024-10-03 15:00:00,0.0,3.0,3.0,6.0,3.0
5011,2024-10-03 16:00:00,0.0,3.0,3.0,5.0,3.0
5012,2024-10-03 17:00:00,0.0,4.0,3.0,6.0,3.0
5013,2024-10-03 18:00:00,0.0,3.0,3.0,6.0,3.0
5014,2024-10-03 19:00:00,0.0,2.0,3.0,5.0,2.0
5015,2024-10-03 20:00:00,0.0,2.0,3.0,4.0,2.0
5016,2024-10-03 21:00:00,0.0,1.0,2.0,3.0,2.0
5017,2024-10-03 22:00:00,0.0,1.0,2.0,2.0,2.0
5018,2024-10-03 23:00:00,0.0,1.0,2.0,2.0,2.0
5019,2024-10-04 00:00:00,0.0,1.0,2.0,2.0,1.0
5020,2024-10-04 01:00:00,0.0,1.0,2.0,2.0,1.0
5021,2024-10-04 02:00:00,0.0,1.0,2.0,2.0,1.0
5022,2024-10-04 03:00:00,0.0,1.0,2.0,2.0,1.0
5023,2024-10-04 04:00:00,0.0,1.0,2.0,2.0,1.0
5024,2024-10-04 05:00:00,0.0,1.0,2.0,2.0,2.0
5025,2024-10-04 06:00:00,0.0,2.0,2.0,3.0,2.0
5026,2024-10-04 07:00:00,0.0,2.0,2.0,5.0,2.0
5027,2024-10-04 08:00:00,0.0,4.0,3.0,7.0,3.0
5028,2024-10-04 09:00:00,0.0,5.0,4.0,11.0,4.0
5029,2024-10-04 10:00:00,0.0,6.0,4.0,13.0,5.0
5030,2024-10-04 11:00:00,0.0,6.0,5.0,14.0,5.0
5031,2024-10-04 12:00:00,1.0,5.0,5.0,13.0,4.0
5032,2024-10-04 13:00:00,1.0,4.0,5.0,11.0,4.0
5033,2024-10-04 14:00:00,1.0,4.0,4.0,9.0,3.0
5034,2024-10-04 15:00:00,0.0,4.0,4.0,8.0,3.0
5035,2024-10-04 16:00:00,0.0,4.0,4.0,9.0,4.0
5036,2024-10-04 17:00:00,0.0,5.0,4.0,9.0,4.0
5037,2024-10-04 18:00:00,0.0,4.0,4.0,9.0,4.0
5038,2024-10-04 19:00:00,0.0,3.0,4.0,9.0,3.0
5039,2024-10-04 20:00:00,0.0,3.0,4.0,8.0,3.0
5040,2024-10-04 21:00:00,0.0,3.0,3.0,7.0,2.0
5041,2024-10-04 22:00:00,0.0,3.0,3.0,7.0,3.0
5042,2024-10-04 23:00:00,0.0,3.0,3.0,7.0,3.0
5043,2024-10-05 00:00:00,0.0,3.0,3.0,7.0,2.0
5044,2024-10-05 01:00:00,0.0,3.0,3.0,7.0,2.0
5045,2024-10-05 02:00:00,0.0,3.0,3.0,7.0,2.0
5046,2024-10-05 03:00:00,0.0,3.0,3.0,7.0,2.0
5047,2024-10-05 04:00:00,0.0,3.0,3.0,7.0,3.0
5048,2024-10-05 05:00:00,0.0,3.0,3.0,7.0,3.0
5049,2024-10-05 06:00:00,0.0,3.0,3.0,8.0,3.0
5050,2024-10-05 07:00:00,0.0,4.0,4.0,10.0,3.0
5051,2024-10-05 08:00:00,0.0,5.0,4.0,12.0,4.0
5052,2024-10-05 09:00:00,0.0,6.0,5.0,15.0,5.0
5053,2024-10-05 10:00:00,0.0,7.0,6.0,17.0,6.0
5054,2024-10-05 11:00:00,1.0,7.0,6.0,18.0,6.0
5055,2024-10-05 12:00:00,1.0,6.0,6.0,17.0,5.0
5056,2024-10-05 13:00:00,1.0,5.0,6.0,14.0,4.0
5057,2024-10-05 14:00:00,1.0,4.0,5.0,12.0,4.0
5058,2024-10-05 15:00:00,1.0,4.0,5.0,11.0,4.0
5059,2024-10-05 16:00:00,0.0,5.0,4.0,11.0,4.0
5060,2024-10-05 17:00:00,0.0,5.0,5.0,11.0,4.0
5061,2024-10-05 18:00:00,0.0,4.0,5.0,11.0,4.0
5062,2024-10-05 19:00:00,0.0,3.0,4.0,10.0,3.0
5063,2024-10-05 20:00:00,0.0,3.0,4.0,9.0,3.0
5064,2024-10-05 21:00:00,0.0,2.0,3.0,8.0,2.0
5065,2024-10-05 22:00:00,0.0,2.0,3.0,7.0,2.0
5066,2024-10-05 23:00:00,0.0,2.0,3.0,7.0,2.0
5067,2024-10-06 00:00:00,0.0,2.0,3.0,6.0,2.0
5068,2024-10-06 01:00:00,0.0,2.0,3.0,6.0,2.0
5069,2024-10-06 02:00:00,0.0,2.0,3.0,6.0,2.0
5070,2024-10-06 03:00:00,0.0,2.0,3.0,6.0,2.0
5071,2024-10-06 04:00:00,0.0,2.0,2.0,5.0,2.0
5072,2024-10-06 05:00:00,0.0,2.0,2.0,5.0,2.0
5073,2024-10-06 06:00:00,0.0,2.0,3.0,6.0,2.0
5074,2024-10-06 07:00:00,0.0,2.0,3.0,7.0,2.0
5075,2024-10-06 08:00:00,0.0,3.0,3.0,9.0,3.0
5076,2024-10-06 09:00:00,0.0,5.0,4.0,12.0,4.0
5077,2024-10-06 10:00:00,0.0,6.0,5.0,14.0,5.0
5078,2024-10-06 11:00:00,1.0,5.0,5.0,15.0,5.0
5079,2024-10-06 12:00:00,1.0,4.0,5.0,13.0,4.0
5080,2024-10-06 13:00:00,1.0,3.0,5.0,11.0,3.0
5081,2024-10-06 14:00:00,1.0,3.0,4.0,9.0,3.0
5082,2024-10-06 15:00:00,0.0,3.0,4.0,8.0,3.0
5083,2024-10-06 16:00:00,0.0,3.0,4.0,8.0,3.0
5084,2024-10-06 17:00:00,0.0,3.0,4.0,8.0,3.0
5085,2024-10-06 18:00:00,0.0,3.0,4.0,8.0,3.0
5086,2024-10-06 19:00:00,0.0,2.0,3.0,7.0,2.0
5087,2024-10-06 20:00:00,0.0,2.0,3.0,6.0,2.0
5088,2024-10-06 21:00:00,0.0,1.0,3.0,5.0,2.0
5089,2024-10-06 22:00:00,0.0,1.0,2.0,4.0,2.0
5090,2024-10-06 23:00:00,0.0,2.0,2.0,4.0,2.0
5091,2024-10-07 00:00:00,0.0,1.0,2.0,4.0,2.0
5092,2024-10-07 01:00:00,0.0,1.0,2.0,4.0,1.0
5093,2024-10-07 02:00:00,0.0,1.0,2.0,4.0,1.0
5094,2024-10-07 03:00:00,0.0,2.0,2.0,4.0,2.0
5095,2024-10-07 04:00:00,0.0,2.0,2.0,4.0,2.0
5096,2024-10-07 05:00:00,0.0,2.0,2.0,4.0,2.0
5097,2024-10-07 06:00:00,0.0,2.0,2.0,4.0,2.0
5098,2024-10-07 07:00:00,0.0,3.0,3.0,6.0,2.0
5099,2024-10-07 08:00:00,0.0,4.0,3.0,9.0,3.0
5100,2024-10-07 09:00:00,0.0,5.0,4.0,12.0,4.0
5101,2024-10-07 10:00:00,0.0,6.0,4.0,14.0,5.0
5102,2024-10-07 11:00:00,0.0,6.0,5.0,14.0,5.0
5103,2024-10-07 12:00:00,1.0,5.0,5.0,13.0,4.0
5104,2024-10-07 13:00:00,1.0,4.0,5.0,11.0,4.0
5105,2024-10-07 14:00:00,1.0,4.0,4.0,9.0,3.0
5106,2024-10-07 15:00:00,0.0,4.0,4.0,8.0,3.0
5107,2024-10-07 16:00:00,0.0,4.0,3.0,8.0,4.0
5108,2024-10-07 17:00:00,0.0,4.0,4.0,8.0,4.0
5109,2024-10-07 18:00:00,0.0,4.0,4.0,8.0,4.0
5110,2024-10-07 19:00:00,0.0,3.0,3.0,7.0,3.0
5111,2024-10-07 20:00:00,0.0,3.0,3.0,6.0,2.0
5112,2024-10-07 21:00:00,0.0,2.0,3.0,5.0,2.0
5113,2024-10-07 22:00:00,0.0,2.0,2.0,4.0,2.0
5114,2024-10-07 23:00:00,0.0,2.0,2.0,4.0,2.0
5115,2024-10-08 00:00:00,0.0,2.0,2.0,4.0,2.0
5116,2024-10-08 01:00:00,0.0,2.0,2.0,4.0,2.0
5117,2024-10-08 02:00:00,0.0,2.0,2.0,4.0,2.0
5118,2024-10-08 03:00:00,0.0,2.0,2.0,3.0,2.0
5119,2024-10-08 04:00:00,0.0,2.0,2.0,3.0,2.0
5120,2024-10-08 05:00:00,0.0,2.0,2.0,3.0,2.0
5121,2024-10-08 06:00:00,0.0,2.0,2.0,3.0,2.0
5122,2024-10-08 07:00:00,0.0,3.0,2.0,5.0,2.0
